stroke_number,interval,async_ms,spm,speed_m_s,v_rel,empirical_speed_loss_pct,theory_k048_pct,theory_k093_pct
211,11. 2026-02-14 07:40,133.2,26.4,2.99,0.9963034310407664,-0.3696568959233648,-1.7565282897847738,-3.4320426961832484
212,11. 2026-02-14 07:40,90.3,25.9,3.02,1.0062997865361587,0.6299786536158702,-1.1682465614193556,-2.2826117300688455
213,11. 2026-02-14 07:40,108.1,26.7,2.99,0.9963034310407664,-0.3696568959233648,-1.441730055895981,-2.8169652245179333
214,11. 2026-02-14 07:40,59.0,26.1,3.04,1.012964023533087,1.296402353308701,-0.7692004258348046,-1.5029241024696813
215,11. 2026-02-14 07:40,66.5,25.5,3.18,1.0596136825115845,5.96136825115845,-0.8470495630296577,-1.6550318506155997
216,11. 2026-02-14 07:40,102.6,26.4,3.05,1.016296142031551,1.6296142031551053,-1.3530015205098935,-2.643600455168178
217,11. 2026-02-14 07:40,74.8,26.8,2.82,0.9396574165668766,-6.034258343312338,-1.0013442052376667,-1.9565048202966568
218,11. 2026-02-14 07:40,96.3,26.1,3.21,1.0696100380069766,6.961003800697663,-1.2554915425066389,-2.4530778147089887
219,11. 2026-02-14 07:40,107.6,26.2,3.2,1.0662779195085126,6.627791950851258,-1.408187742372501,-2.7514276224133565
220,11. 2026-02-14 07:40,150.8,26.7,3.09,1.0296246160254074,2.9624616025407446,-2.01122009647654,-3.92967951764389
223,11. 2026-02-14 07:40,63.8,25.6,2.93,0.976310720049982,-2.3689279950018016,-0.8158449714315668,-1.5940618729019294
224,11. 2026-02-14 07:40,77.6,26.0,3.11,1.0362888530223355,3.628885302233553,-1.0078178967233598,-1.969153626302246
226,11. 2026-02-14 07:40,71.9,26.9,2.9,0.9663143645545896,-3.3685635445410367,-0.9661135369902941,-1.8876683783542019
227,11. 2026-02-14 07:40,14.0,25.2,2.66,0.8863435205914512,-11.365647940854885,-0.17622826822165016,-0.3443286079299328
228,11. 2026-02-14 07:40,60.7,26.5,3.15,1.049617327016192,4.9617327016191926,-0.8034920092061661,-1.569925686750832
229,11. 2026-02-14 07:40,32.3,26.0,2.98,0.9929713125423024,-0.702868745769758,-0.4194912121670686,-0.8196348212572493
230,11. 2026-02-14 07:40,96.8,26.0,2.85,0.949653772062269,-5.034622793773103,-1.257174902098212,-2.4563668946656887
231,11. 2026-02-14 07:40,54.1,26.0,2.75,0.916332587077628,-8.3667412922372,-0.7026153120197651,-1.3728248863782413
