interval,stroke_num,timestamp,spm,async_ms,speed_ms,run_id,run_mean_speed,v_rel,seat1_catch,seat2_catch,seat3_catch,seat4_catch
11. 2026-02-14 07:40,81,2026-02-14 04:11:39.060457945+00:00,24.5,117.2,3.36,88323414_1,3.118813559322034,1.0773327536546926,2026-02-14 04:11:39.016484499+00:00,2026-02-14 04:11:39.060457945+00:00,2026-02-14 04:11:38.953508377+00:00,2026-02-14 04:11:38.943283081+00:00
11. 2026-02-14 07:40,82,2026-02-14 04:11:41.507488966+00:00,24.2,96.3,2.95,88323414_1,3.118813559322034,0.9458725069289713,2026-02-14 04:11:41.463095427+00:00,2026-02-14 04:11:41.507488966+00:00,2026-02-14 04:11:41.453943729+00:00,2026-02-14 04:11:41.411231995+00:00
11. 2026-02-14 07:40,83,2026-02-14 04:11:43.984566212+00:00,24.4,76.2,3.23,88323414_1,3.118813559322034,1.0356502364001956,2026-02-14 04:11:44.012378693+00:00,2026-02-14 04:11:43.984566212+00:00,2026-02-14 04:11:43.945384264+00:00,2026-02-14 04:11:43.936194897+00:00
11. 2026-02-14 07:40,84,2026-02-14 04:11:46.444945335+00:00,24.3,75.8,3.41,88323414_1,3.118813559322034,1.0933644910602685,2026-02-14 04:11:46.430046558+00:00,2026-02-14 04:11:46.444945335+00:00,2026-02-14 04:11:46.377993345+00:00,2026-02-14 04:11:46.369132757+00:00
11. 2026-02-14 07:40,85,2026-02-14 04:11:48.911291599+00:00,25.7,108.7,3.48,88323414_1,3.118813559322034,1.1158089234280746,2026-02-14 04:11:48.854545116+00:00,2026-02-14 04:11:48.911291599+00:00,2026-02-14 04:11:48.826303959+00:00,2026-02-14 04:11:48.802588463+00:00
11. 2026-02-14 07:40,86,2026-02-14 04:11:51.245920658+00:00,25.2,67.2,3.26,88323414_1,3.118813559322034,1.0452692788435411,2026-02-14 04:11:51.218765020+00:00,2026-02-14 04:11:51.245920658+00:00,2026-02-14 04:11:51.192793608+00:00,2026-02-14 04:11:51.178746223+00:00
11. 2026-02-14 07:40,87,2026-02-14 04:11:53.629647017+00:00,24.7,78.9,3.15,88323414_1,3.118813559322034,1.0099994565512744,2026-02-14 04:11:53.626530647+00:00,2026-02-14 04:11:53.629647017+00:00,2026-02-14 04:11:53.550735712+00:00,2026-02-14 04:11:53.593224525+00:00
11. 2026-02-14 07:40,88,2026-02-14 04:11:56.061018705+00:00,26.3,94.6,3.36,88323414_1,3.118813559322034,1.0773327536546926,2026-02-14 04:11:55.989739180+00:00,2026-02-14 04:11:56.061018705+00:00,2026-02-14 04:11:55.973495722+00:00,2026-02-14 04:11:55.966382742+00:00
11. 2026-02-14 07:40,89,2026-02-14 04:11:58.345321655+00:00,24.2,78.8,3.35,88323414_1,3.118813559322034,1.0741264061735776,2026-02-14 04:11:58.304074049+00:00,2026-02-14 04:11:58.345321655+00:00,2026-02-14 04:11:58.336036444+00:00,2026-02-14 04:11:58.382839680+00:00
11. 2026-02-14 07:40,90,2026-02-14 04:12:00.829018593+00:00,25.5,153.0,3.49,88323414_1,3.118813559322034,1.1190152709091898,2026-02-14 04:12:00.783705235+00:00,2026-02-14 04:12:00.829018593+00:00,2026-02-14 04:12:00.676040649+00:00,2026-02-14 04:12:00.731007576+00:00
